season,season_id,sef_value,sef_std,sample_size
21/22,1,1.36518624762719,99.1419289792383,282
22/23,2,1.34852344229586,100.467606095457,280
23/24,3,1.30479263724935,107.607698201792,284
24/25,4,1.36895429550418,101.165174937205,282
