Number,Date,Team.Stats.for,Match.x,Tries,PenGoals,Cons,Drops,MissedGoals,PenTries,Carry,MetresMade,DefenderBeaten,Offload,Pass,Tackle,MissedTackle,Turnover,KicksfromHand,CleanBreaks,Turnovers.Won,LineoutsWon,LineoutsLost,ScrumsWon,ScrumsLost,RucksWon,RucksLost,PensConceded,Free.Kicks,Scrum.Pens,LO.Pens,Tackle.Ruck...Maul.Pens,Gen.Play.Pens,Control.Pens,YellowCards,RedCards,Match.Type,Season,PF,PA,PD,Match.Outcome,Home.or.Away,Match.y,Total.Penalty.Conceded,Lineout.Penalty,Scrum.Penalty
177,28/02/2021,Glasgow,Leinster v Glasgow Warriors,3,0,3,0,0,0,173,361,34,7,175,199,22,16,19,6,4,11,3,5,0,142,1,9,1,1,0,2,3,4,2,1,Regular,S20,21,40,-19,L,A,Leinster vs Glasgow,8,0,0
178,28/02/2021,Leinster,Leinster v Glasgow Warriors,6,0,4,0,2,1,146,438,22,4,149,220,34,11,24,7,7,5,1,7,1,110,2,11,1,2,0,1,6,2,0,0,Regular,S20,40,21,19,W,H,Leinster vs Glasgow,10,0,1
179,28/03/2021,Dragons,Dragons v Edinburgh,3,1,3,0,1,0,125,425,31,13,169,175,29,17,14,9,2,15,1,2,0,89,7,14,1,1,0,9,3,1,0,0,Regular,S20,24,17,7,W,H,Dragons vs Edinburgh,13,0,0
180,28/03/2021,Edinburgh,Dragons v Edinburgh,3,0,1,0,2,0,154,504,29,7,174,143,31,9,25,10,8,10,2,6,0,123,3,11,0,2,0,5,4,0,1,0,Regular,S20,17,24,-7,L,A,Dragons vs Edinburgh,11,0,2
181,29/11/2020,Benetton,Benetton v Dragons,3,0,2,0,1,0,130,528,20,9,166,65,9,12,27,4,4,21,1,7,2,81,6,16,1,3,0,10,3,0,0,0,Regular,S20,19,26,-7,L,H,Benetton vs Dragons,15,0,2
182,29/11/2020,Cardiff,Cardiff Blues v Glasgow Warriors,1,1,1,0,0,0,92,368,21,6,129,154,17,14,26,10,7,17,2,6,0,55,6,13,1,1,1,7,2,2,1,0,Regular,S20,10,19,-9,L,H,Cardiff vs Glasgow,12,1,0
183,29/11/2020,Dragons,Benetton v Dragons,3,3,1,0,4,0,68,258,9,7,94,142,20,11,36,6,10,12,1,5,1,43,1,9,1,3,1,3,1,1,0,0,Regular,S20,26,19,7,W,A,Benetton vs Dragons,8,1,2
184,29/11/2020,Glasgow,Cardiff Blues v Glasgow Warriors,1,4,1,0,1,0,144,547,17,5,170,79,21,13,30,8,9,8,2,7,0,113,3,7,0,1,0,5,1,0,0,0,Regular,S20,19,10,9,W,A,Cardiff vs Glasgow,7,0,1
185,30/01/2021,Benetton,Benetton v Munster,2,2,0,0,2,0,165,381,26,18,237,86,12,9,37,8,5,17,3,3,0,124,3,9,1,1,0,6,1,1,1,0,Regular,S20,16,18,-2,L,H,Benetton vs Munster,8,0,0
186,30/01/2021,Leinster,Scarlets v Leinster,7,1,6,0,0,1,148,477,24,0,157,113,26,12,25,8,6,8,1,7,0,120,1,10,1,1,0,4,4,1,1,0,Regular,S20,52,25,27,W,A,Scarlets vs Leinster,9,0,0
187,30/01/2021,Munster,Benetton v Munster,2,1,1,1,1,0,101,310,12,7,130,181,26,9,40,3,5,12,1,3,0,65,7,10,0,0,0,8,2,1,0,0,Regular,S20,18,16,2,W,A,Benetton vs Munster,10,0,0
188,30/01/2021,Scarlets,Scarlets v Leinster,3,2,2,0,1,0,113,405,26,8,203,180,24,14,20,8,4,14,0,3,0,81,3,9,1,1,0,5,2,1,1,0,Regular,S20,25,52,-27,L,H,Scarlets vs Leinster,8,0,0
189,30/11/2020,Edinburgh,Edinburgh v Ulster,2,0,2,0,1,0,98,195,12,7,128,93,17,13,19,4,1,10,1,5,0,81,5,16,1,4,4,4,4,0,1,0,Regular,S20,14,43,-29,L,H,Edinburgh vs Ulster,15,4,3
190,30/11/2020,Munster,Munster v Zebre,8,0,5,0,2,1,104,378,17,9,154,116,7,10,23,12,6,17,4,7,0,72,1,8,1,2,0,4,2,0,0,0,Regular,S20,52,3,49,W,H,Munster vs Zebre,7,0,1
191,30/11/2020,Ulster,Edinburgh v Ulster,7,0,4,0,3,0,87,292,17,8,108,120,12,9,21,7,5,14,3,8,1,62,2,10,0,3,0,5,1,1,0,0,Regular,S20,43,14,29,W,A,Edinburgh vs Ulster,10,0,3
192,30/11/2020,Zebre,Munster v Zebre,0,1,0,0,0,0,86,172,7,5,88,105,17,11,17,1,2,13,0,7,2,70,3,18,0,3,1,9,4,2,2,0,Regular,S20,3,52,-49,L,A,Munster vs Zebre,18,1,3
