Team,Match_ID,Outcome,Carries,Metres_Made,Defenders_Beaten,Offloads,Passes,Tackles,Clean_Breaks,Turnovers_Won,Rucks_Won,Lineout_Throws_Won,Season,Match_Location
Zebre Parma,268132,loss,49,122,9,3,56,134,2,9,3,14,21/22,away
Benetton Rugby,268133,win,70,139,6,2,85,138,2,4,2,13,21/22,home
Glasgow Warriors,268133,loss,104,249,16,4,118,80,2,5,6,9,21/22,away
Hollywoodbets Sharks,268134,win,136,418,27,7,133,117,5,9,6,11,21/22,home
Scarlets,268134,loss,110,307,18,5,132,172,5,7,11,9,21/22,away
Dragons RFC,268135,loss,100,290,17,3,154,197,4,4,11,7,21/22,home
Edinburgh Rugby,268135,win,154,420,25,11,209,127,7,11,4,19,21/22,away
Vodacom Bulls,268136,win,105,411,26,17,132,118,4,6,4,13,21/22,home
Munster Rugby,268136,loss,92,230,3,10,115,103,1,4,6,10,21/22,away
Ulster Rugby,268137,win,147,335,23,7,152,190,3,7,7,16,21/22,away
Leinster Rugby,268137,loss,150,344,20,6,185,212,5,9,9,14,21/22,home
Cardiff Rugby,268138,loss,98,248,8,9,134,111,1,4,6,16,21/22,away
Emirates Lions,268138,win,102,307,10,9,150,111,2,6,3,13,21/22,home
Vodacom Bulls,268139,win,126,675,30,21,123,97,12,5,4,10,21/22,home
Scarlets,268139,loss,92,269,12,9,135,118,1,8,3,11,21/22,away
Benetton Rugby,268140,loss,107,266,13,17,127,105,3,8,8,13,21/22,away
Edinburgh Rugby,268140,win,103,398,24,12,127,135,7,10,8,14,21/22,home
Leinster Rugby,268141,win,103,480,20,7,129,193,7,6,3,13,21/22,home
Connacht Rugby,268141,loss,157,406,23,16,190,122,5,6,7,14,21/22,away
Zebre Parma,268142,loss,88,261,13,9,78,132,1,9,8,8,21/22,away
Hollywoodbets Sharks,268142,win,113,528,15,17,161,88,9,9,5,19,21/22,home
Ospreys,268143,win,77,140,8,5,93,233,1,10,10,7,21/22,home
Ulster Rugby,268143,loss,181,432,18,17,219,96,3,5,12,18,21/22,away
Emirates Lions,268144,win,88,285,16,8,119,147,5,8,7,13,21/22,home
Munster Rugby,268144,loss,142,304,9,23,169,99,1,7,8,9,21/22,away
Glasgow Warriors,268145,win,136,570,25,12,147,130,11,4,6,16,21/22,home
Dragons RFC,268145,loss,99,267,9,4,111,159,2,8,2,11,21/22,away
Cardiff Rugby,268146,loss,41,113,10,0,40,89,0,9,6,9,21/22,away
