Team,Match_ID,Outcome,Carries,Metres_Made,Defenders_Beaten,Offloads,Passes,Tackles,Clean_Breaks,Turnovers_Won,Rucks_Won,Lineout_Throws_Won,Season,Match_Location
Munster Rugby,271800,loss,78,174,5,5,100,120,1,4,3,9,22/23,away
Connacht Rugby,271800,win,86,191,8,6,109,99,3,5,6,14,22/23,home
Benetton Rugby,271801,win,122,448,16,14,157,132,10,7,3,15,22/23,home
Dragons RFC,271801,loss,114,283,7,8,137,128,3,4,8,11,22/23,away
Scarlets,271802,loss,178,522,23,10,203,81,5,2,6,17,22/23,home
Cardiff Rugby,271802,win,82,363,11,9,111,209,5,6,6,5,22/23,away
Hollywoodbets Sharks,271803,loss,66,180,11,3,80,168,6,10,3,12,22/23,away
Leinster Rugby,271803,win,153,499,29,15,143,84,11,4,7,9,22/23,home
Ulster Rugby,271804,win,170,489,21,15,215,153,8,7,3,9,22/23,home
Ospreys,271804,loss,120,320,23,8,176,207,5,5,4,11,22/23,away
Benetton Rugby,271805,loss,91,217,6,10,98,203,3,5,3,6,22/23,away
Edinburgh Rugby,271805,win,165,631,26,11,189,111,10,4,4,12,22/23,home
Emirates Lions,271807,loss,113,474,24,11,129,93,7,6,3,9,22/23,home
Ulster Rugby,271807,win,90,430,8,7,115,131,7,3,6,11,22/23,away
Glasgow Warriors,271808,loss,70,229,19,5,103,106,3,5,4,10,22/23,away
Hollywoodbets Sharks,271808,win,108,519,13,12,146,76,6,8,5,13,22/23,home
Vodacom Bulls,271809,loss,126,268,19,6,99,166,2,3,4,9,22/23,away
Munster Rugby,271809,win,133,414,15,6,181,166,3,5,4,7,22/23,home
Scarlets,271810,win,121,442,28,1,123,157,9,10,10,13,22/23,home
Zebre Parma,271810,loss,130,491,23,12,138,135,7,7,8,11,22/23,away
Cardiff Rugby,271811,win,90,341,15,7,116,175,3,7,6,14,22/23,home
Dragons RFC,271811,loss,130,429,17,3,172,115,3,4,5,17,22/23,away
Leinster Rugby,271812,win,120,449,23,6,173,120,7,6,7,17,22/23,away
Connacht Rugby,271812,loss,91,147,2,1,135,152,0,7,5,14,22/23,home
Connacht Rugby,271813,win,112,347,19,12,122,87,2,5,9,11,22/23,home
Scarlets,271813,loss,83,346,8,9,95,126,3,5,2,9,22/23,away
Benetton Rugby,271814,loss,112,272,11,3,138,130,3,5,8,14,22/23,home
Vodacom Bulls,271814,win,104,359,17,9,99,134,4,9,6,10,22/23,away
Zebre Parma,271815,loss,112,330,5,8,115,81,3,4,5,16,22/23,home
Edinburgh Rugby,271815,win,91,286,16,10,86,137,4,4,8,12,22/23,away
Glasgow Warriors,271816,loss,96,430,23,22,154,137,8,9,5,13,22/23,away
Emirates Lions,271816,win,110,472,16,7,137,90,4,6,4,12,22/23,home
Hollywoodbets Sharks,271817,loss,146,466,26,8,183,76,5,7,7,18,22/23,home
Ulster Rugby,271817,win,82,258,11,5,99,155,4,11,4,12,22/23,away
Ospreys,271818,loss,124,383,16,6,158,129,6,2,7,9,22/23,away
Dragons RFC,271818,win,112,505,12,6,155,166,8,5,2,12,22/23,home
DHL Stormers,271819,loss,98,350,21,10,119,89,5,3,9,13,22/23,away
Cardiff Rugby,271819,win,74,179,6,3,88,110,4,16,5,9,22/23,home
Leinster Rugby,271820,win,132,461,25,10,164,151,7,8,3,10,22/23,home
Munster Rugby,271820,loss,120,225,11,13,140,142,3,3,8,8,22/23,away
Leinster Rugby,271821,win,114,375,12,5,121,154,2,6,7,10,22/23,away
Scarlets,271821,loss,133,452,15,13,171,139,5,3,5,13,22/23,home
Benetton Rugby,271822,loss,58,143,2,0,59,141,0,9,6,10,22/23,away
Glasgow Warriors,271822,win,124,579,20,15,198,69,7,10,7,18,22/23,home
Cardiff Rugby,271823,loss,99,255,8,4,132,156,2,4,5,12,22/23,home
Edinburgh Rugby,271823,win,118,326,14,4,129,142,2,6,5,18,22/23,away
Zebre Parma,271824,loss,96,302,11,11,126,145,2,3,4,9,22/23,away
Dragons RFC,271824,win,133,375,21,15,189,100,8,6,2,12,22/23,home
Munster Rugby,271825,loss,124,353,18,10,175,149,4,6,10,11,22/23,home
Ulster Rugby,271825,win,112,247,24,1,116,148,1,10,8,14,22/23,away
Ospreys,271826,loss,122,306,20,7,125,123,4,6,6,19,22/23,home
Connacht Rugby,271826,win,102,284,9,5,136,154,4,10,3,23,22/23,away
Vodacom Bulls,271827,win,95,485,13,9,103,62,7,9,5,13,22/23,home
Hollywoodbets Sharks,271827,loss,73,345,18,11,85,84,4,4,6,12,22/23,away
Emirates Lions,271828,loss,82,317,16,7,91,70,4,7,5,5,22/23,home
DHL Stormers,271828,win,78,376,18,15,105,105,7,5,9,13,22/23,away
Edinburgh Rugby,271829,loss,119,248,10,4,130,141,1,7,7,11,22/23,away
Benetton Rugby,271829,win,100,191,9,6,118,139,4,9,5,10,22/23,home
Dragons RFC,271830,loss,88,462,9,14,127,116,2,7,2,11,22/23,away
Emirates Lions,271830,win,104,328,25,10,110,78,5,4,8,19,22/23,home
Ospreys,271831,loss,99,366,18,8,105,113,2,7,9,10,22/23,away
Vodacom Bulls,271831,win,121,637,29,17,155,117,11,8,1,4,22/23,home
Hollywoodbets Sharks,271832,loss,97,283,9,11,121,88,2,7,11,15,22/23,home
Cardiff Rugby,271832,win,75,216,9,2,55,98,4,12,5,12,22/23,away
Munster Rugby,271833,win,100,388,13,11,121,131,4,6,2,13,22/23,home
Connacht Rugby,271833,loss,100,282,8,4,111,99,2,9,4,13,22/23,away
Scarlets,271834,loss,121,437,13,21,177,111,8,5,4,7,22/23,away
DHL Stormers,271834,win,109,424,27,20,134,123,4,6,6,17,22/23,home
Glasgow Warriors,271835,loss,157,548,26,25,249,95,7,5,9,12,22/23,away
Leinster Rugby,271835,win,87,408,12,6,112,169,3,6,4,14,22/23,home
Ulster Rugby,271836,win,122,304,18,17,177,113,4,8,6,10,22/23,home
Zebre Parma,271836,loss,117,232,18,14,154,133,3,5,7,13,22/23,away
Edinburgh Rugby,271837,loss,78,285,22,2,120,117,4,6,3,12,22/23,home
Munster Rugby,271837,win,99,373,19,6,121,88,7,4,4,15,22/23,away
Glasgow Warriors,271838,win,93,246,12,5,131,82,5,8,3,15,22/23,away
Zebre Parma,271838,loss,81,262,11,5,92,106,3,1,3,15,22/23,home
Hollywoodbets Sharks,271839,win,90,238,20,8,101,92,3,9,5,15,22/23,home
Ospreys,271839,loss,88,328,8,12,91,102,6,4,9,11,22/23,away
Dragons RFC,271840,loss,74,335,7,10,103,72,3,7,6,9,22/23,away
DHL Stormers,271840,win,83,342,15,11,126,68,4,6,6,14,22/23,home
Emirates Lions,271841,win,97,369,19,13,115,84,4,7,3,11,22/23,home
Scarlets,271841,loss,95,520,13,11,134,102,6,7,4,10,22/23,away
Cardiff Rugby,271842,loss,93,275,9,2,127,147,1,9,2,8,22/23,away
Vodacom Bulls,271842,win,137,502,12,20,170,108,9,4,4,18,22/23,home
Benetton Rugby,271843,loss,136,580,26,11,200,153,7,5,6,8,22/23,away
Connacht Rugby,271843,win,118,422,20,9,167,169,5,9,4,15,22/23,home
Ulster Rugby,271844,loss,121,353,14,7,144,164,3,4,4,8,22/23,away
Leinster Rugby,271844,win,128,324,22,5,141,137,6,12,2,9,22/23,home
Edinburgh Rugby,271845,loss,113,375,17,6,133,126,2,5,10,12,22/23,away
Glasgow Warriors,271845,win,95,234,12,6,93,152,2,9,2,14,22/23,home
Emirates Lions,271846,loss,68,159,12,6,75,127,1,7,4,9,22/23,away
Hollywoodbets Sharks,271846,win,117,625,27,11,145,87,9,5,5,7,22/23,home
Vodacom Bulls,271847,loss,122,315,14,7,159,74,5,3,8,13,22/23,away
DHL Stormers,271847,win,74,337,17,11,102,164,5,4,1,11,22/23,home
Zebre Parma,271848,loss,111,350,17,14,131,109,2,6,7,9,22/23,away
Benetton Rugby,271848,win,120,395,21,15,146,122,8,7,14,14,22/23,home
Dragons RFC,271849,loss,94,330,17,5,137,139,6,4,11,14,22/23,home
Cardiff Rugby,271849,win,119,306,21,19,129,118,7,13,6,8,22/23,away
Connacht Rugby,271850,loss,117,322,17,7,151,178,1,12,5,15,22/23,home
Ulster Rugby,271850,win,134,404,15,6,143,141,5,7,6,16,22/23,away
Leinster Rugby,271851,win,115,308,9,10,100,183,5,7,7,13,22/23,away
Munster Rugby,271851,loss,132,226,8,11,167,139,3,10,3,14,22/23,home
Scarlets,271852,loss,85,288,5,5,98,97,2,9,7,14,22/23,away
Ospreys,271852,win,95,496,19,10,124,107,5,8,6,10,22/23,home
Glasgow Warriors,271853,win,118,428,25,6,156,99,7,6,1,9,22/23,away
Edinburgh Rugby,271853,loss,92,321,14,9,110,140,1,5,4,11,22/23,home
Vodacom Bulls,271854,loss,92,250,13,13,119,92,2,5,9,13,22/23,away
Hollywoodbets Sharks,271854,win,96,461,15,13,142,100,5,11,7,13,22/23,home
Emirates Lions,271855,loss,107,331,20,2,133,88,5,9,5,10,22/23,away
DHL Stormers,271855,win,107,657,19,16,138,139,8,8,4,11,22/23,home
Zebre Parma,271856,loss,93,435,19,7,115,116,3,6,7,10,22/23,home
Benetton Rugby,271856,win,106,343,22,8,135,96,7,11,6,16,22/23,away
Dragons RFC,271857,loss,108,330,15,8,138,85,3,7,3,8,22/23,away
Scarlets,271857,win,85,270,13,11,83,134,6,8,7,8,22/23,home
Leinster Rugby,271858,win,143,722,15,16,189,156,8,11,2,12,22/23,home
Connacht Rugby,271858,loss,126,437,13,2,177,147,3,2,6,15,22/23,away
Ulster Rugby,271859,loss,95,263,14,8,118,285,2,5,4,9,22/23,home
Munster Rugby,271859,win,200,404,30,14,259,102,4,6,9,13,22/23,away
Cardiff Rugby,271860,loss,64,213,6,2,72,89,4,7,4,6,22/23,home
Ospreys,271860,win,87,242,16,12,111,83,4,7,6,17,22/23,away
Dragons RFC,271861,loss,89,321,10,8,101,134,6,4,10,14,22/23,home
Vodacom Bulls,271861,win,106,406,18,7,116,101,2,11,5,12,22/23,away
Glasgow Warriors,271862,win,115,484,39,7,170,97,10,9,4,8,22/23,home
DHL Stormers,271862,loss,91,268,18,11,113,134,2,11,4,18,22/23,away
Ulster Rugby,271863,loss,131,368,14,9,193,101,2,2,6,8,22/23,away
Benetton Rugby,271863,win,91,294,17,3,107,177,6,5,1,8,22/23,home
Connacht Rugby,271864,win,93,319,10,11,115,162,4,6,3,10,22/23,home
Hollywoodbets Sharks,271864,loss,117,415,15,7,117,96,2,6,3,10,22/23,away
Cardiff Rugby,271865,loss,96,363,12,7,135,111,6,5,5,12,22/23,home
Scarlets,271865,win,95,473,38,8,117,109,6,7,8,6,22/23,away
Munster Rugby,271866,win,172,452,29,15,217,124,5,5,1,6,22/23,home
Emirates Lions,271866,loss,100,213,10,5,121,202,2,4,5,7,22/23,away
Leinster Rugby,271867,win,135,570,16,14,186,128,7,6,6,13,22/23,away
Ospreys,271867,loss,99,304,8,5,111,171,3,8,4,12,22/23,home
Zebre Parma,271868,loss,91,276,16,9,125,137,6,6,7,10,22/23,away
Edinburgh Rugby,271868,win,121,325,18,4,160,107,2,10,5,19,22/23,home
DHL Stormers,271869,loss,150,360,15,11,187,159,2,2,6,12,22/23,away
Ulster Rugby,271869,win,126,443,21,11,154,204,9,6,2,11,22/23,home
Ospreys,271870,win,103,353,25,11,140,86,7,7,8,15,22/23,away
Zebre Parma,271870,loss,92,452,15,15,125,123,6,8,3,10,22/23,home
Benetton Rugby,271871,loss,146,506,24,15,195,164,8,4,5,8,22/23,home
Munster Rugby,271871,win,135,423,23,12,198,162,6,6,2,8,22/23,away
Glasgow Warriors,271872,win,104,501,21,12,141,173,8,7,6,13,22/23,away
Dragons RFC,271872,loss,128,299,10,8,147,122,2,6,5,11,22/23,home
Emirates Lions,271873,loss,85,324,18,1,116,212,2,7,1,11,22/23,away
Connacht Rugby,271873,win,167,454,22,14,238,103,7,5,11,14,22/23,home
Scarlets,271874,win,90,352,13,8,102,190,5,8,4,8,22/23,home
Vodacom Bulls,271874,loss,146,393,17,7,184,83,3,8,8,16,22/23,away
Hollywoodbets Sharks,271875,win,93,410,15,7,114,184,6,8,5,6,22/23,away
Edinburgh Rugby,271875,loss,165,450,25,29,171,105,7,4,10,15,22/23,home
Leinster Rugby,271876,win,149,422,28,4,176,108,6,3,7,10,22/23,home
Cardiff Rugby,271876,loss,96,238,9,6,120,180,1,3,4,11,22/23,away
Glasgow Warriors,271877,win,137,259,14,7,168,144,1,6,6,16,22/23,home
Ulster Rugby,271877,loss,103,201,7,3,91,167,1,3,6,13,22/23,away
Ospreys,271878,loss,85,169,13,5,107,131,2,6,6,6,22/23,away
Munster Rugby,271878,win,139,701,23,17,204,111,11,6,2,16,22/23,home
Zebre Parma,271879,loss,103,371,9,5,155,109,4,8,5,6,22/23,home
Connacht Rugby,271879,win,101,387,10,9,129,127,6,6,9,12,22/23,away
Edinburgh Rugby,271880,loss,132,345,30,9,161,66,1,5,8,9,22/23,away
Scarlets,271880,win,71,492,13,15,110,161,8,10,4,5,22/23,home
Dragons RFC,271881,loss,155,383,20,18,181,169,5,6,3,11,22/23,away
Leinster Rugby,271881,win,139,595,28,12,157,192,10,8,5,12,22/23,home
Cardiff Rugby,271882,win,123,360,9,12,166,130,4,6,5,11,22/23,home
Benetton Rugby,271882,loss,114,538,19,12,155,146,6,9,6,6,22/23,away
Vodacom Bulls,271883,loss,132,307,21,7,128,57,4,6,10,7,22/23,home
DHL Stormers,271883,win,55,243,15,8,76,179,4,11,8,10,22/23,away
Hollywoodbets Sharks,271884,win,86,351,19,6,118,90,2,6,5,15,22/23,away
Emirates Lions,271884,loss,84,369,19,9,118,97,4,3,2,12,22/23,home
Scarlets,271885,loss,141,487,23,14,151,181,7,9,5,9,22/23,away
Munster Rugby,271885,win,159,494,27,17,211,153,8,8,4,12,22/23,home
Zebre Parma,271886,loss,99,345,15,10,144,126,4,5,5,9,22/23,away
Glasgow Warriors,271886,win,98,292,19,6,146,126,3,10,7,22,22/23,home
Ulster Rugby,271887,win,156,544,22,7,202,99,6,6,5,11,22/23,away
Cardiff Rugby,271887,loss,93,431,18,11,145,201,5,6,1,8,22/23,home
Dragons RFC,271888,loss,98,357,10,6,102,179,3,6,4,9,22/23,home
Connacht Rugby,271888,win,123,389,20,7,146,102,3,3,3,9,22/23,away
Leinster Rugby,271889,win,135,496,29,10,169,174,12,3,4,9,22/23,away
Edinburgh Rugby,271889,loss,144,361,26,10,206,159,5,8,4,10,22/23,home
Benetton Rugby,271890,win,79,360,7,8,101,174,6,6,8,14,22/23,away
Ospreys,271890,loss,138,447,23,13,183,74,6,8,8,12,22/23,home
Vodacom Bulls,271891,loss,99,325,10,9,143,104,3,6,4,14,22/23,home
Emirates Lions,271891,win,90,354,15,8,115,120,2,8,9,11,22/23,away
Hollywoodbets Sharks,271892,loss,48,191,9,4,70,51,3,4,3,12,22/23,away
DHL Stormers,271892,win,61,193,6,5,76,46,6,7,2,13,22/23,home
Benetton Rugby,271893,loss,106,428,23,11,146,99,7,7,3,15,22/23,home
Emirates Lions,271893,win,87,291,28,7,133,103,5,7,2,11,22/23,away
Vodacom Bulls,271894,loss,135,393,16,3,158,79,3,4,7,7,22/23,away
Ulster Rugby,271894,win,70,253,10,5,86,200,2,0,4,15,22/23,home
Scarlets,271895,win,91,311,15,8,107,127,5,8,5,8,22/23,home
Hollywoodbets Sharks,271895,loss,105,324,20,9,142,92,2,6,3,15,22/23,away
Cardiff Rugby,271896,win,129,303,14,7,155,103,1,8,8,9,22/23,away
Zebre Parma,271896,loss,114,406,22,10,154,167,5,9,6,15,22/23,home
Ospreys,271898,win,118,358,18,14,149,105,8,8,5,8,22/23,home
Dragons RFC,271898,loss,89,250,4,13,111,124,2,5,4,16,22/23,away
Edinburgh Rugby,271899,loss,164,528,22,10,233,93,2,1,7,16,22/23,away
Connacht Rugby,271899,win,82,366,15,5,78,188,4,7,5,8,22/23,home
Munster Rugby,271900,loss,146,529,17,9,206,112,5,4,4,12,22/23,home
Glasgow Warriors,271900,win,96,311,16,10,133,181,6,5,3,10,22/23,away
Benetton Rugby,271901,loss,90,361,18,6,125,124,7,3,6,14,22/23,away
Hollywoodbets Sharks,271901,win,110,392,22,6,148,92,8,12,1,10,22/23,home
Connacht Rugby,271902,win,107,405,17,11,142,201,4,8,2,14,22/23,home
Cardiff Rugby,271902,loss,141,474,19,9,207,115,4,4,9,14,22/23,away
Scarlets,271903,loss,68,266,9,3,78,115,3,3,3,5,22/23,away
Glasgow Warriors,271903,win,88,272,21,3,112,83,2,7,7,12,22/23,home
Vodacom Bulls,271904,win,158,609,27,23,210,84,11,7,4,12,22/23,home
Zebre Parma,271904,loss,78,134,7,7,96,145,1,4,3,6,22/23,away
Leinster Rugby,271905,win,80,318,18,5,111,117,5,5,2,12,22/23,away
Emirates Lions,271905,loss,109,407,22,8,138,102,7,3,2,15,22/23,home
Edinburgh Rugby,271906,win,85,399,20,5,97,79,7,11,7,16,22/23,home
Ospreys,271906,loss,82,375,19,5,114,86,3,6,5,11,22/23,away
Munster Rugby,271907,win,100,247,21,11,117,152,3,5,2,9,22/23,away
DHL Stormers,271907,loss,130,451,25,19,167,99,6,4,6,13,22/23,home
Ulster Rugby,271908,win,125,587,18,13,175,118,8,10,6,13,22/23,home
Dragons RFC,271908,loss,105,374,21,4,160,118,4,6,7,17,22/23,away
Benetton Rugby,271909,loss,116,393,30,7,123,119,3,4,4,13,22/23,away
DHL Stormers,271909,win,128,476,20,19,155,122,3,5,6,17,22/23,home
Glasgow Warriors,271910,win,167,396,24,12,235,72,4,6,6,13,22/23,home
Connacht Rugby,271910,loss,57,211,11,2,67,229,2,7,4,5,22/23,away
Zebre Parma,271911,loss,76,314,11,8,86,110,5,9,3,10,22/23,away
Emirates Lions,271911,win,114,715,34,21,161,70,13,6,2,13,22/23,home
Leinster Rugby,271912,loss,59,173,8,6,84,186,2,10,4,5,22/23,away
Vodacom Bulls,271912,win,169,759,31,23,228,62,18,7,3,16,22/23,home
Cardiff Rugby,271913,win,125,407,17,14,177,120,6,9,3,10,22/23,away
Ospreys,271913,loss,115,345,18,13,162,148,1,8,8,13,22/23,home
Dragons RFC,271914,win,99,256,21,14,109,162,2,5,4,15,22/23,home
Scarlets,271914,loss,118,267,20,8,148,101,2,5,3,13,22/23,away
Ulster Rugby,271916,win,145,423,16,6,190,135,3,7,5,14,22/23,home
Edinburgh Rugby,271916,loss,117,416,26,12,159,185,3,11,6,8,22/23,away
Ulster Rugby,276139,win,87,356,12,10,125,108,7,2,4,12,23/24,away
Zebre Parma,276139,loss,108,386,13,7,125,88,2,2,6,17,23/24,home
Connacht Rugby,276140,win,135,525,17,7,210,168,11,9,4,11,23/24,home
Ospreys,276140,loss,137,346,15,5,192,154,2,6,8,10,23/24,away
Dragons RFC,276141,loss,81,265,7,11,108,98,5,6,8,13,23/24,home
Edinburgh Rugby,276141,win,94,312,18,9,136,73,5,7,5,18,23/24,away
Emirates Lions,276142,loss,96,308,20,11,140,59,7,3,3,19,23/24,home
DHL Stormers,276142,win,70,391,17,9,80,125,5,3,2,11,23/24,away
Benetton Rugby,276143,win,135,436,18,3,159,130,4,8,7,14,23/24,away
Cardiff Rugby,276143,loss,126,230,18,10,156,146,2,10,7,12,23/24,home
Munster Rugby,276144,win,125,402,16,11,173,139,7,8,5,14,23/24,home
Hollywoodbets Sharks,276144,loss,125,412,29,8,186,152,6,6,7,13,23/24,away
Vodacom Bulls,276145,win,121,661,19,18,144,89,10,5,5,14,23/24,home
Scarlets,276145,loss,84,286,9,12,110,106,7,6,4,6,23/24,away
Glasgow Warriors,276146,win,119,449,31,13,160,189,9,8,5,12,23/24,home
Leinster Rugby,276146,loss,141,428,18,4,165,123,1,5,5,10,23/24,away
Zebre Parma,276147,loss,84,231,16,6,94,112,6,5,2,13,23/24,away
Ospreys,276147,win,109,443,16,5,148,92,8,7,3,13,23/24,home
Connacht Rugby,276148,win,112,429,11,7,171,187,6,12,3,6,23/24,home
Glasgow Warriors,276148,loss,156,486,30,15,237,128,6,8,6,13,23/24,away
DHL Stormers,276149,win,132,658,26,24,172,116,13,7,4,11,23/24,home
Scarlets,276149,loss,113,210,15,12,133,115,2,6,8,8,23/24,away
Hollywoodbets Sharks,276150,loss,101,501,23,11,120,129,5,7,8,7,23/24,away
Leinster Rugby,276150,win,120,518,17,3,173,88,8,11,8,16,23/24,home
Emirates Lions,276151,loss,135,391,22,7,158,80,3,9,5,12,23/24,away
Edinburgh Rugby,276151,win,86,425,21,9,114,177,8,6,6,12,23/24,home
Cardiff Rugby,276153,win,104,444,17,7,106,126,6,7,5,6,23/24,away
Dragons RFC,276153,loss,103,255,13,2,96,105,4,3,10,15,23/24,home
Ulster Rugby,276154,win,150,474,20,15,167,168,5,5,5,11,23/24,home
Vodacom Bulls,276154,loss,120,286,16,10,139,173,2,8,6,6,23/24,away
Glasgow Warriors,276155,win,101,246,22,6,129,117,7,4,7,14,23/24,home
DHL Stormers,276155,loss,95,254,11,5,104,133,1,5,2,11,23/24,away
Hollywoodbets Sharks,276156,loss,112,442,13,7,141,143,2,3,6,7,23/24,away
Ospreys,276156,win,101,316,9,2,98,127,3,5,6,13,23/24,home
Zebre Parma,276157,loss,70,265,9,5,94,140,4,6,2,7,23/24,home
Vodacom Bulls,276157,win,131,534,24,12,159,79,7,4,8,17,23/24,away
Edinburgh Rugby,276158,loss,100,446,23,9,126,124,5,8,6,12,23/24,away
Leinster Rugby,276158,win,119,502,11,11,160,105,6,9,2,11,23/24,home
Scarlets,276159,win,85,201,15,3,119,120,3,3,5,17,23/24,home
Cardiff Rugby,276159,loss,102,361,16,6,96,111,6,4,6,9,23/24,away
Dragons RFC,276160,loss,85,164,11,2,117,137,2,8,6,16,23/24,away
Munster Rugby,276160,win,117,625,21,6,145,105,10,6,6,10,23/24,home
Connacht Rugby,276161,win,172,441,31,10,218,108,7,4,7,15,23/24,home
Ulster Rugby,276161,loss,97,402,15,11,115,220,3,7,3,5,23/24,away
Emirates Lions,276162,loss,156,365,20,6,194,115,2,6,10,14,23/24,away
Benetton Rugby,276162,win,110,370,11,8,146,202,5,12,8,13,23/24,home
Zebre Parma,276163,win,115,196,13,4,95,144,2,7,5,17,23/24,home
Hollywoodbets Sharks,276163,loss,113,366,13,5,169,146,4,8,5,14,23/24,away
Cardiff Rugby,276164,loss,125,539,23,10,212,119,8,8,4,10,23/24,home
Vodacom Bulls,276164,win,98,388,22,5,111,138,4,10,10,15,23/24,away
Ulster Rugby,276165,win,116,340,19,8,155,179,7,7,6,8,23/24,home
Munster Rugby,276165,loss,129,270,14,5,158,128,1,8,9,10,23/24,away
Benetton Rugby,276166,win,107,177,13,5,135,100,2,6,6,13,23/24,home
DHL Stormers,276166,loss,93,266,16,6,121,149,5,5,1,12,23/24,away
Glasgow Warriors,276167,win,95,215,6,5,120,130,1,8,4,18,23/24,away
Ospreys,276167,loss,101,317,16,4,145,127,3,5,7,11,23/24,home
Scarlets,276168,loss,114,368,25,14,150,144,4,5,6,12,23/24,home
Emirates Lions,276168,win,113,308,20,2,108,117,4,7,6,8,23/24,away
Edinburgh Rugby,276169,win,120,464,25,11,146,180,5,7,3,15,23/24,home
Connacht Rugby,276169,loss,161,386,15,7,203,114,3,6,5,8,23/24,away
Leinster Rugby,276170,win,80,301,17,10,98,97,6,5,3,13,23/24,away
Dragons RFC,276170,loss,88,159,10,2,96,84,1,7,6,15,23/24,home
Vodacom Bulls,276171,loss,71,218,17,4,70,120,3,3,4,8,23/24,away
Edinburgh Rugby,276171,win,116,349,19,12,144,79,6,4,6,10,23/24,home
Emirates Lions,276172,loss,94,236,10,7,92,121,3,6,4,13,23/24,away
Ulster Rugby,276172,win,102,246,13,7,99,116,3,7,5,7,23/24,home
Hollywoodbets Sharks,276174,loss,139,513,29,14,190,83,5,5,7,12,23/24,home
Connacht Rugby,276174,win,80,153,8,5,100,138,1,9,4,12,23/24,away
Ospreys,276175,loss,88,247,13,6,101,120,4,9,4,11,23/24,away
Dragons RFC,276175,win,113,475,25,6,132,106,7,7,4,11,23/24,home
Munster Rugby,276176,win,109,217,16,8,132,93,2,7,6,13,23/24,home
DHL Stormers,276176,loss,87,325,22,9,104,141,3,10,3,7,23/24,away
Scarlets,276177,loss,138,340,14,8,166,145,1,8,10,10,23/24,away
Leinster Rugby,276177,win,157,633,27,14,228,193,8,9,8,14,23/24,home
Benetton Rugby,276178,loss,144,459,12,6,184,93,2,9,4,13,23/24,away
Glasgow Warriors,276178,win,103,458,31,6,136,151,9,10,6,14,23/24,home
Cardiff Rugby,276179,win,92,237,20,4,110,122,4,9,2,8,23/24,home
DHL Stormers,276179,loss,115,451,15,13,147,108,3,5,4,13,23/24,away
Edinburgh Rugby,276180,loss,113,269,23,8,155,150,5,9,2,12,23/24,home
Benetton Rugby,276180,win,116,338,6,4,143,113,3,6,6,13,23/24,away
Zebre Parma,276181,loss,52,149,17,5,81,116,4,0,3,16,23/24,away
Emirates Lions,276181,win,112,429,32,7,159,42,10,6,5,16,23/24,home
Ospreys,276182,win,110,387,27,5,112,111,3,8,4,15,23/24,home
Scarlets,276182,loss,94,174,9,13,108,132,1,6,7,7,23/24,away
Vodacom Bulls,276183,win,122,475,25,14,151,156,7,2,3,11,23/24,home
Connacht Rugby,276183,loss,135,325,15,10,214,129,6,4,3,11,23/24,away
Hollywoodbets Sharks,276184,win,122,506,21,14,160,69,11,7,4,19,23/24,home
Dragons RFC,276184,loss,67,299,13,5,84,111,6,7,3,7,23/24,away
Munster Rugby,276185,loss,134,349,19,4,184,147,5,5,2,14,23/24,away
Leinster Rugby,276185,win,126,351,18,7,146,172,9,6,4,13,23/24,home
Ulster Rugby,276186,loss,139,300,11,6,168,193,2,5,6,6,23/24,away
Glasgow Warriors,276186,win,155,411,20,9,219,181,5,7,4,14,23/24,home
Munster Rugby,276187,win,121,413,22,1,163,118,4,7,5,8,23/24,home
Glasgow Warriors,276187,loss,100,287,18,5,138,172,0,5,4,11,23/24,away
Vodacom Bulls,276188,win,78,363,19,12,88,122,7,8,1,9,23/24,home
Hollywoodbets Sharks,276188,loss,100,441,17,8,133,62,3,4,6,13,23/24,away
Scarlets,276189,win,147,493,26,8,200,103,7,5,5,10,23/24,away
Cardiff Rugby,276189,loss,90,325,10,3,100,185,4,4,3,9,23/24,home
Dragons RFC,276190,loss,97,429,20,14,169,109,8,5,6,14,23/24,away
Emirates Lions,276190,win,106,669,30,11,131,88,11,10,3,9,23/24,home
Edinburgh Rugby,276191,win,126,289,23,8,163,150,1,10,2,11,23/24,away
Ulster Rugby,276191,loss,113,302,12,4,148,148,3,3,9,15,23/24,home
DHL Stormers,276192,win,142,465,40,20,170,80,8,3,4,13,23/24,home
Zebre Parma,276192,loss,76,254,20,5,77,149,5,4,1,10,23/24,away
Connacht Rugby,276193,loss,98,474,21,7,124,171,7,5,1,7,23/24,home
Leinster Rugby,276193,win,128,318,15,2,185,103,6,5,5,10,23/24,away
Benetton Rugby,276194,win,120,350,15,8,154,126,3,2,1,14,23/24,home
Ospreys,276194,loss,91,230,23,19,148,160,3,5,0,12,23/24,away
Edinburgh Rugby,276195,loss,115,310,19,6,124,162,1,3,3,11,23/24,away
Glasgow Warriors,276195,win,127,341,20,10,157,133,7,4,2,16,23/24,home
Ulster Rugby,276196,win,113,221,12,7,120,129,3,6,4,9,23/24,home
Connacht Rugby,276196,loss,105,313,13,5,151,146,3,4,4,11,23/24,away
Zebre Parma,276197,loss,140,421,29,6,123,93,7,9,6,13,23/24,home
Benetton Rugby,276197,win,85,359,21,5,96,162,5,6,5,11,23/24,away
Hollywoodbets Sharks,276198,loss,117,350,23,8,150,98,2,5,7,14,23/24,home
Emirates Lions,276198,win,94,264,16,9,107,123,2,5,3,14,23/24,away
