Number,Date,Team.Stats.for,Match,Tries,PenGoals,Cons,Drops,MissedGoals,PenTries,Carry,MetresMade,DefenderBeaten,Offload,Pass,Tackle,MissedTackle,Turnover,KicksfromHand,CleanBreaks,Turnovers.Won,LineoutsWon,LineoutsLost,ScrumsWon,ScrumsLost,RucksWon,RucksLost,Total.Penalty.Conceded,Free.Kicks,Scrum.Penalty,Lineout.Penalty,Tackle.Ruck...Maul.Pens,Gen.Play.Pens,Control.Pens,YellowCards,RedCards,Match.Type,Season,PF,PA,PD,Match.Outcome,Home.or.Away
94,15/11/2020,Ospreys,Munster v Ospreys,-2,0,-4,0,1,1,-18,23,-3,-1,1,30,3,-2,-5,2,-5,-6,1,2,1,-10,2,3,-1,0,1,2,0,0,0,0,Regular,S20,22,38,-16,L,A
81,12/03/2021,Munster,Munster v Scarlets,3,-1,3,0,0,0,45,218,-6,2,13,-50,6,-4,-1,0,-1,9,-1,-2,0,24,-3,-3,1,0,-1,-4,1,0,-1,0,Regular,S20,28,10,18,W,H
83,12/03/2021,Scarlets,Munster v Scarlets,-3,1,-3,0,0,0,-45,-218,6,-2,-13,50,-6,4,1,0,1,-9,1,2,0,-24,3,3,-1,0,1,4,-1,0,1,0,Regular,S20,10,28,-18,L,A
190,30/11/2020,Munster,Munster v Zebre,8,-1,5,0,2,1,18,206,10,4,66,11,-10,-1,6,11,4,4,4,0,-2,2,-2,-11,1,-2,-1,-5,-2,-2,-2,0,Regular,S20,52,3,49,W,H
192,30/11/2020,Zebre,Munster v Zebre,-8,1,-5,0,-2,-1,-18,-206,-10,-4,-66,-11,10,1,-6,-11,-4,-4,-4,0,2,-2,2,11,-1,2,1,5,2,2,2,0,Regular,S20,3,52,-49,L,A
129,22/11/2020,Benetton,Ospreys v Benetton,0,0,-1,0,1,0,-30,-43,-10,4,-16,36,10,7,1,2,4,-4,0,-3,-2,-19,-8,-1,-1,1,0,-5,2,2,1,-1,Regular,S20,22,24,-2,L,A
133,22/11/2020,Ospreys,Ospreys v Benetton,0,0,1,0,-1,0,30,43,10,-4,16,-36,-10,-7,-1,-2,-4,4,0,3,2,19,8,1,1,-1,0,5,-2,-2,-1,1,Regular,S20,24,22,2,W,H
43,06/03/2021,Dragons,Ospreys v Dragons,3,-2,1,0,3,0,-20,-30,-5,2,-23,45,5,1,-3,1,0,5,2,-2,-2,-22,-1,0,0,2,1,-3,0,0,0,0,Regular,S20,31,20,11,W,A
46,06/03/2021,Ospreys,Ospreys v Dragons,-3,2,-1,0,-3,0,20,30,5,-2,23,-45,-5,-1,3,-1,0,-5,-2,2,2,22,1,0,0,-2,-1,3,0,0,0,0,Regular,S20,20,31,-11,L,H
149,24/10/2020,Glasgow,Ospreys v Glasgow Warriors,0,-2,-1,0,1,0,28,96,15,2,33,-33,-15,4,-6,1,-1,1,-2,0,0,29,-3,-1,0,3,0,-4,0,0,-1,0,Regular,S20,15,23,-8,L,A
