season,team,match_location,outcome,outcome_binary,final_points_absolute,final_points_relative,abs_carries,abs_metres_made,abs_defenders_beaten,abs_clean_breaks,abs_offloads,abs_passes,abs_turnovers_conceded,abs_turnovers_won,abs_kicks_from_hand,abs_kick_metres,abs_scrums_won,abs_rucks_won,abs_lineout_throws_lost,abs_lineout_throws_won,abs_tackles,abs_missed_tackles,abs_penalties_conceded,abs_scrum_pens_conceded,abs_lineout_pens_conceded,abs_general_play_pens_conceded,abs_free_kicks_conceded,abs_ruck_maul_tackle_pen_con,abs_red_cards,abs_yellow_cards,rel_carries,rel_metres_made,rel_defenders_beaten,rel_clean_breaks,rel_offloads,rel_passes,rel_turnovers_conceded,rel_turnovers_won,rel_kicks_from_hand,rel_kick_metres,rel_scrums_won,rel_rucks_won,rel_lineout_throws_lost,rel_lineout_throws_won,rel_tackles,rel_missed_tackles,rel_penalties_conceded,rel_scrum_pens_conceded,rel_lineout_pens_conceded,rel_general_play_pens_conceded,rel_free_kicks_conceded,rel_ruck_maul_tackle_pen_con,rel_red_cards,rel_yellow_cards
21/22,Benetton Rugby,home,win,1,28,1,117,357,18,3,4,127,16,3,24,769,5,5,2,14,86,15,13,4,0,4,0,2,0,1,24,-52,3,-2,-5,16,0,-7,-1,99,-3,0,1,2,-56,-3,0,1,0,1,0,-1,0,1
21/22,Edinburgh Rugby,away,loss,0,27,-1,93,409,15,5,9,111,16,10,25,670,8,5,1,12,142,18,13,3,0,3,0,3,0,0,-24,52,-3,2,5,-16,0,7,1,-99,3,0,-1,-2,56,3,0,-1,0,-1,0,1,0,-1
21/22,Glasgow Warriors,home,win,1,35,11,121,426,15,7,24,155,11,5,22,669,6,4,2,11,97,4,13,2,1,3,0,4,0,1,44,204,11,7,19,70,-4,-3,4,-44,1,1,-4,-1,-19,-11,3,1,1,0,0,0,0,0
21/22,Hollywoodbets Sharks,away,loss,0,24,-11,77,222,4,0,5,85,15,8,18,713,5,3,6,12,116,15,10,1,0,3,0,4,0,1,-44,-204,-11,-7,-19,-70,4,3,-4,44,-1,-1,4,1,19,11,-3,-1,-1,0,0,0,0,0
21/22,Zebre Parma,home,loss,0,3,-33,80,218,9,2,9,98,15,6,20,532,2,4,0,10,145,28,19,7,1,4,2,3,0,2,-64,-189,-19,-5,-5,-109,1,0,2,-37,-12,0,-1,-10,60,19,12,7,1,3,2,2,0,2
21/22,Ulster Rugby,away,win,1,36,33,144,407,28,7,14,207,14,6,18,569,14,4,1,20,85,9,7,0,0,1,0,1,0,0,64,189,19,5,5,109,-1,0,-2,37,12,0,1,10,-60,-19,-12,-7,-1,-3,-2,-2,0,-2
21/22,Dragons RFC,home,loss,0,6,-1,102,265,14,2,4,131,15,6,37,988,9,6,4,10,169,18,12,3,1,2,0,1,0,2,-43,-211,-4,-3,-8,-43,-7,1,0,93,5,1,-1,-9,43,4,0,1,1,-2,-1,-1,0,2
21/22,Leinster Rugby,away,win,1,7,1,145,476,18,5,12,174,22,5,37,895,4,5,5,19,126,14,12,2,0,4,1,2,0,0,43,211,4,3,8,43,7,-1,0,-93,-5,-1,1,9,-43,-4,0,-1,-1,2,1,1,0,-2
21/22,Ospreys,home,win,1,18,4,75,170,5,1,6,87,13,8,26,1249,8,6,2,17,153,12,7,2,0,0,1,0,0,1,-51,-262,-7,-5,-2,-91,-2,1,3,418,1,0,0,8,63,7,-10,-3,-2,-3,0,-3,0,0
21/22,Cardiff Rugby,away,loss,0,14,-4,126,432,12,6,8,178,15,7,23,831,7,6,2,9,90,5,17,5,2,3,1,3,0,1,51,262,7,5,2,91,2,-1,-3,-418,-1,0,0,-8,-63,-7,10,3,2,3,0,3,0,0
