season,team,match_location,outcome,outcome_binary,final_points_absolute,final_points_relative,abs_carries,abs_metres_made,abs_defenders_beaten,abs_clean_breaks,abs_offloads,abs_passes,abs_turnovers_conceded,abs_turnovers_won,abs_kicks_from_hand,abs_kick_metres,abs_scrums_won,abs_rucks_won,abs_lineout_throws_lost,abs_lineout_throws_won,abs_tackles,abs_missed_tackles,abs_penalties_conceded,abs_scrum_pens_conceded,abs_lineout_pens_conceded,abs_general_play_pens_conceded,abs_free_kicks_conceded,abs_ruck_maul_tackle_pen_con,abs_red_cards,abs_yellow_cards,rel_carries,rel_metres_made,rel_defenders_beaten,rel_clean_breaks,rel_offloads,rel_passes,rel_turnovers_conceded,rel_turnovers_won,rel_kicks_from_hand,rel_kick_metres,rel_scrums_won,rel_rucks_won,rel_lineout_throws_lost,rel_lineout_throws_won,rel_tackles,rel_missed_tackles,rel_penalties_conceded,rel_scrum_pens_conceded,rel_lineout_pens_conceded,rel_general_play_pens_conceded,rel_free_kicks_conceded,rel_ruck_maul_tackle_pen_con,rel_red_cards,rel_yellow_cards
22/23,Dragons RFC,away,loss,0,6,-38,78,171,6,0,6,95,11,5,14,662,5,9,0,9,151,17,22,4,2,4,1,5,0,1,-38,-206,-11,-8,0,-51,0,-2,-2,-195,-1,3,-4,-8,42,11,9,2,0,2,-2,2,0,0
22/23,Edinburgh Rugby,home,win,1,44,38,116,377,17,8,6,146,11,7,16,857,6,6,4,17,109,6,13,2,2,2,3,3,0,1,38,206,11,8,0,51,0,2,2,195,1,-3,4,8,-42,-11,-9,-2,0,-2,2,-2,0,0
22/23,Ulster Rugby,home,win,1,36,26,151,388,19,7,7,176,12,4,25,974,8,6,2,19,92,5,8,1,0,1,1,3,0,0,74,138,14,6,6,81,-1,-3,9,374,2,1,0,11,-94,-14,-7,-2,0,-2,1,-4,0,-1
22/23,Connacht Rugby,away,loss,0,10,-26,77,250,5,1,1,95,13,7,16,600,6,5,2,8,186,19,15,3,0,3,0,7,0,1,-74,-138,-14,-6,-6,-81,1,3,-9,-374,-2,-1,0,-11,94,14,7,2,0,2,-1,4,0,1
22/23,Benetton Rugby,home,win,1,33,22,80,245,10,5,6,97,13,10,29,1088,10,6,2,13,140,14,9,1,0,3,0,4,0,0,-44,-69,-4,1,-4,-62,-3,5,6,255,6,-1,0,2,57,4,-3,-3,-2,0,-2,3,0,0
22/23,Glasgow Warriors,away,loss,0,11,-22,124,314,14,4,10,159,16,5,23,833,4,7,2,11,83,10,12,4,2,3,2,1,0,0,44,69,4,-1,4,62,3,-5,-6,-255,-6,1,0,-2,-57,-4,3,3,2,0,2,-3,0,0
22/23,Leinster Rugby,away,win,1,33,4,97,233,9,3,10,129,13,5,19,875,12,4,2,12,95,23,7,0,0,2,0,5,0,0,-6,-131,-14,-5,-9,-7,-7,0,5,232,8,0,1,0,-6,14,-7,-4,0,-4,0,3,0,-1
22/23,Zebre Parma,home,loss,0,29,-4,103,364,23,8,19,136,20,5,14,643,4,4,1,12,101,9,14,4,0,6,0,2,0,1,6,131,14,5,9,7,7,0,-5,-232,-8,0,-1,0,6,-14,7,4,0,4,0,-3,0,1
22/23,Cardiff Rugby,home,win,1,20,7,150,512,42,11,17,173,14,10,30,1063,3,4,1,10,135,23,7,0,0,3,0,1,0,0,33,109,19,9,9,29,4,3,8,102,-2,-5,-1,-4,-43,-19,-4,-1,0,1,-1,-1,0,0
22/23,Munster Rugby,away,loss,0,13,-7,117,403,23,2,8,144,10,7,22,961,5,9,2,14,178,42,11,1,0,2,1,2,0,0,-33,-109,-19,-9,-9,-29,-4,-3,-8,-102,2,5,1,4,43,19,4,1,0,-1,1,1,0,0
22/23,Hollywoodbets Sharks,home,loss,0,19,-27,129,397,14,5,14,138,16,4,22,808,5,4,1,12,73,16,14,5,0,5,0,1,0,0,54,-65,-2,-4,3,47,3,-4,-7,-236,-3,1,-2,0,-74,2,8,3,0,2,0,-2,0,0
22/23,DHL Stormers,away,win,1,46,27,75,462,16,9,11,91,13,8,29,1044,8,3,3,12,147,14,6,2,0,3,0,3,0,0,-54,65,2,4,-3,-47,-3,4,7,236,3,-1,2,0,74,-2,-8,-3,0,-2,0,2,0,0
22/23,Emirates Lions,home,loss,0,15,-16,90,274,20,1,13,128,14,5,25,1340,4,3,2,18,108,6,13,3,0,5,0,3,0,0,-12,-222,14,-1,-5,-15,3,-1,-4,107,-2,-1,0,9,5,-14,1,1,-1,4,0,2,0,0
22/23,Vodacom Bulls,away,win,1,31,16,102,496,6,2,18,143,11,6,29,1233,6,4,2,9,103,20,12,2,1,1,0,1,0,0,12,222,-14,1,5,15,-3,1,4,-107,2,1,0,-9,-5,14,-1,-1,1,-4,0,-2,0,0
22/23,Zebre Parma,home,loss,0,37,-5,90,388,20,6,12,113,14,1,15,557,1,3,2,16,100,15,14,4,0,3,1,3,0,2,14,-27,5,0,9,19,11,-2,-7,-179,-6,-1,0,8,14,-5,3,4,-3,2,1,1,0,2
22/23,Hollywoodbets Sharks,away,win,1,42,5,76,415,15,6,3,94,3,3,22,736,7,4,2,8,86,20,11,0,3,1,0,2,0,0,-14,27,-5,0,-9,-19,-11,2,7,179,6,1,0,-8,-14,5,-3,-4,3,-2,-1,-1,0,-2
22/23,Glasgow Warriors,home,win,1,52,28,157,507,18,7,18,227,9,11,20,753,2,4,1,13,85,15,12,3,0,3,1,4,0,1,82,194,3,4,13,133,-1,8,4,158,-7,-1,-3,3,-77,-3,1,2,0,0,0,1,0,-1
22/23,Cardiff Rugby,away,loss,0,24,-28,75,313,15,3,5,94,10,3,16,595,9,5,4,10,162,18,11,1,0,3,1,3,0,2,-82,-194,-3,-4,-13,-133,1,-8,-4,-158,7,1,3,-3,77,3,-1,-2,0,0,0,-1,0,1
22/23,Benetton Rugby,away,loss,0,10,-32,99,278,14,2,13,116,12,10,31,934,7,5,2,7,162,21,9,2,1,2,0,3,0,1,-44,-110,-7,-1,2,-83,-3,6,6,-135,4,-2,1,-11,58,7,-3,-1,1,2,-1,0,0,1
22/23,Leinster Rugby,home,win,1,42,32,143,388,21,3,11,199,15,4,25,1069,3,7,1,18,104,14,12,3,0,0,1,3,0,0,44,110,7,1,-2,83,3,-6,-6,135,-4,2,-1,11,-58,-7,3,1,-1,-2,1,0,0,-1
22/23,Connacht Rugby,away,loss,0,15,-23,113,376,19,5,4,140,13,5,25,1019,3,8,1,17,64,13,14,4,1,4,0,4,1,0,43,20,6,0,-5,28,3,3,1,-174,-3,5,-3,4,-81,-6,-1,4,0,-2,0,1,1,-1
22/23,DHL Stormers,home,win,1,38,23,70,356,13,5,9,112,10,2,24,1193,6,3,4,13,145,19,15,0,1,6,0,3,0,1,-43,-20,-6,0,5,-28,-3,-3,-1,174,3,-5,3,-4,81,6,1,-4,0,2,0,-1,-1,1
22/23,Edinburgh Rugby,away,loss,0,31,-2,98,241,18,5,10,122,6,4,18,771,2,5,0,14,85,7,14,2,2,2,0,0,0,1,27,78,11,2,5,31,-1,0,1,24,-1,-1,0,-6,-24,-11,4,1,2,-2,0,-5,0,1
22/23,Vodacom Bulls,home,win,1,33,2,71,163,7,3,5,91,7,4,17,747,3,6,0,20,109,18,10,1,0,4,0,5,0,0,-27,-78,-11,-2,-5,-31,1,0,-1,-24,1,1,0,6,24,11,-4,-1,-2,2,0,5,0,-1
22/23,Scarlets,home,loss,0,39,-16,103,293,13,7,8,116,9,7,21,759,0,9,1,12,191,18,9,0,0,4,0,3,0,2,-49,-264,-5,4,-3,-79,-1,0,2,129,-2,6,0,5,75,5,0,0,-2,2,0,-1,0,2
22/23,Ulster Rugby,away,win,1,55,16,152,557,18,3,11,195,10,7,19,630,2,3,1,7,116,13,9,0,2,2,0,4,0,0,49,264,5,-4,3,79,1,0,-2,-129,2,-6,0,-5,-75,-5,0,0,2,-2,0,1,0,-2
22/23,Emirates Lions,away,win,1,28,1,71,249,7,2,4,80,10,7,21,739,5,4,4,12,120,22,11,3,0,3,0,3,0,1,-59,-85,-15,-2,-15,-126,-2,2,-1,-262,-3,0,2,1,36,15,2,1,0,2,-1,1,0,1
22/23,Ospreys,home,loss,0,27,-1,130,334,22,4,19,206,12,5,22,1001,8,4,2,11,84,7,9,2,0,1,1,2,0,0,59,85,15,2,15,126,2,-2,1,262,3,0,-2,-1,-36,-15,-2,-1,0,-2,1,-1,0,-1
22/23,Munster Rugby,away,loss,0,17,-6,118,365,17,3,10,159,16,3,20,947,5,5,2,9,128,22,16,1,0,5,1,8,0,1,3,-54,-5,-1,-2,15,3,-4,-3,-53,-4,-4,0,2,-21,5,8,-1,0,4,1,7,0,0
22/23,Dragons RFC,home,win,1,23,6,115,419,22,4,12,144,13,7,23,1000,9,9,2,7,149,17,8,2,0,1,0,1,0,1,-3,54,5,1,2,-15,-3,4,3,53,4,4,0,-2,21,-5,-8,1,0,-4,-1,-7,0,0
22/23,Emirates Lions,away,win,1,31,13,80,260,12,2,5,84,16,5,26,928,10,2,1,16,82,8,6,1,0,1,0,2,0,0,1,-10,4,-1,-3,-38,1,1,4,107,1,-2,-1,4,-23,-4,-10,-2,-1,-3,-2,-2,0,-1
22/23,Cardiff Rugby,home,loss,0,18,-13,79,270,8,3,8,122,15,4,22,821,9,4,2,12,105,12,16,3,1,4,2,4,0,1,-1,10,-4,1,3,38,-1,-1,-4,-107,-1,2,1,-4,23,4,10,2,1,3,2,2,0,1
22/23,Ulster Rugby,home,loss,0,13,-7,101,269,13,1,5,105,14,4,22,814,10,6,0,11,115,6,11,3,0,1,0,0,0,0,16,91,7,0,2,17,1,-5,-4,-162,1,2,-3,0,-9,-7,-2,0,0,-1,-2,-2,0,-1
22/23,Leinster Rugby,away,win,1,20,7,85,178,6,1,3,88,13,9,26,976,9,4,3,11,124,13,13,3,0,2,2,2,0,1,-16,-91,-7,0,-2,-17,-1,5,4,162,-1,-2,3,0,9,7,2,0,0,1,2,2,0,1
22/23,Benetton Rugby,home,win,1,34,11,109,385,19,4,7,107,10,3,41,1228,4,4,3,14,106,15,11,2,0,2,1,0,0,0,10,163,4,0,1,-13,0,-1,8,114,0,-2,1,4,-7,-4,-1,1,0,-2,1,-3,0,-1
22/23,Scarlets,away,loss,0,23,-11,99,222,15,4,6,120,10,4,33,1114,4,6,2,10,113,19,12,1,0,4,0,3,0,1,-10,-163,-4,0,-1,13,0,1,-8,-114,0,2,-1,-4,7,4,1,-1,0,2,-1,3,0,1
22/23,Edinburgh Rugby,away,loss,0,18,-16,107,254,18,2,9,147,9,8,17,610,13,6,1,9,82,18,11,1,0,6,0,3,0,1,25,-37,0,-3,-1,45,-3,3,8,113,9,0,1,0,-46,0,-3,-2,0,1,-2,1,-1,-1
22/23,DHL Stormers,home,win,1,34,16,82,291,18,5,10,102,12,5,9,497,4,6,0,9,128,18,14,3,0,5,2,2,1,2,-25,37,0,3,1,-45,3,-3,-8,-113,-9,0,-1,0,46,0,3,2,0,-1,2,-1,1,1
22/23,Vodacom Bulls,home,win,1,28,14,90,431,7,4,8,102,13,10,18,619,6,4,3,17,119,24,21,4,1,6,1,7,0,3,-24,91,-17,-2,-4,-65,0,3,6,-106,-5,-5,-2,4,11,17,6,3,-1,4,1,5,0,3
22/23,Connacht Rugby,away,loss,0,14,-14,114,340,24,6,12,167,13,7,12,725,11,9,5,13,108,7,15,1,2,2,0,2,0,0,24,-91,17,2,4,65,0,-3,-6,106,5,5,2,-4,-11,-17,-6,-3,1,-4,-1,-5,0,-3
22/23,Ospreys,home,win,1,32,15,64,203,11,5,2,101,9,10,22,866,11,1,3,13,121,14,14,2,1,3,0,2,0,1,-37,-64,-3,4,0,-66,-7,5,10,259,6,-4,2,-9,45,3,3,-1,1,1,0,2,0,1
22/23,Glasgow Warriors,away,loss,0,17,-15,101,267,14,1,2,167,16,5,12,607,5,5,1,22,76,11,11,3,0,2,0,0,0,0,37,64,3,-4,0,66,7,-5,-10,-259,-6,4,-2,9,-45,-3,-3,1,-1,-1,0,-2,0,-1
22/23,Zebre Parma,away,loss,0,5,-16,76,159,14,1,5,105,16,12,22,893,10,6,10,12,104,9,11,1,1,2,1,2,0,1,-24,-73,5,0,-10,-23,0,6,5,105,4,-2,6,-1,14,-5,-3,-1,1,0,0,-2,0,1
22/23,Munster Rugby,home,win,1,21,16,100,232,9,1,15,128,16,6,17,788,6,8,4,13,90,14,14,2,0,2,1,4,0,0,24,73,-5,0,10,23,0,-6,-5,-105,-4,2,-6,1,-14,5,3,1,-1,0,0,2,0,-1
22/23,Hollywoodbets Sharks,away,win,1,20,1,102,513,26,7,10,108,11,7,27,975,7,9,3,13,144,18,11,2,0,4,0,1,0,0,-22,202,8,3,-1,-25,-6,-2,1,-117,4,3,3,2,32,-8,2,-1,-2,2,0,-1,0,0
22/23,Dragons RFC,home,loss,0,19,-1,124,311,18,4,11,133,17,9,26,1092,3,6,0,11,112,26,9,3,2,2,0,2,0,0,22,-202,-8,-3,1,25,6,2,-1,117,-4,-3,-3,-2,-32,8,-2,1,2,-2,0,1,0,0
22/23,Emirates Lions,away,win,1,22,3,91,314,18,6,3,115,6,7,24,871,1,5,2,12,132,34,12,3,0,3,1,5,0,0,-28,-174,-16,-1,-1,-62,-8,3,8,178,-6,-4,-1,-1,2,16,1,3,-1,0,0,4,0,0
22/23,Edinburgh Rugby,home,loss,0,19,-3,119,488,34,7,4,177,14,4,16,693,7,9,3,13,130,18,11,0,1,3,1,1,0,0,28,174,16,1,1,62,8,-3,-8,-178,6,4,1,1,-2,-16,-1,-3,1,0,0,-4,0,0
22/23,Zebre Parma,home,loss,0,20,-17,83,210,8,2,10,85,13,4,21,626,7,2,3,7,77,10,12,4,0,4,1,3,0,0,21,32,-2,0,8,8,6,1,6,-44,1,-4,0,-6,-19,2,2,2,0,2,0,0,0,0
22/23,DHL Stormers,away,win,1,37,17,62,178,10,2,2,77,7,3,15,670,6,6,3,13,96,8,10,2,0,2,1,3,0,0,-21,-32,2,0,-8,-8,-6,-1,-6,44,-1,4,0,6,19,-2,-2,-2,0,-2,0,0,0,0
22/23,Glasgow Warriors,home,win,1,35,14,104,376,26,5,7,149,10,16,23,1049,2,5,2,15,130,15,17,7,1,4,2,4,0,1,-1,69,11,1,4,38,-6,12,13,274,-7,-9,0,-1,7,-11,4,6,1,1,1,0,0,0
22/23,Vodacom Bulls,away,loss,0,21,-14,105,307,15,4,3,111,16,4,10,775,9,14,2,16,123,26,13,1,0,3,1,4,0,1,1,-69,-11,-1,-4,-38,6,-12,-13,-274,7,9,0,1,-7,11,-4,-6,-1,-1,-1,0,0,0
22/23,Munster Rugby,away,loss,0,11,-9,78,174,5,1,5,100,10,4,15,650,7,3,3,9,120,8,14,4,0,1,1,2,0,0,-8,-17,-3,-2,-1,-9,0,-1,-3,-215,-3,-3,3,-5,21,3,1,2,-2,0,0,0,0,0
22/23,Connacht Rugby,home,win,1,20,9,86,191,8,3,6,109,10,5,18,865,10,6,0,14,99,5,13,2,2,1,1,2,0,0,8,17,3,2,1,9,0,1,3,215,3,3,-3,5,-21,-3,-1,-2,2,0,0,0,0,0
22/23,Benetton Rugby,home,win,1,34,20,122,448,16,10,14,157,13,7,33,1211,9,3,1,15,132,7,7,1,0,4,0,1,0,0,8,165,9,7,6,20,0,3,5,166,1,-5,0,4,4,-9,-3,-4,0,2,-1,1,0,0
22/23,Dragons RFC,away,loss,0,14,-20,114,283,7,3,8,137,13,4,28,1045,8,8,1,11,128,16,10,5,0,2,1,0,0,0,-8,-165,-9,-7,-6,-20,0,-3,-5,-166,-1,5,0,-4,-4,9,3,4,0,-2,1,-1,0,0
22/23,Scarlets,home,loss,0,10,-6,178,522,23,5,10,203,17,2,31,1028,8,6,0,17,81,11,8,0,1,4,0,2,1,0,96,159,12,0,1,92,7,-4,-2,-267,3,0,-3,12,-128,-12,-6,-1,0,0,0,-1,1,-2
22/23,Cardiff Rugby,away,win,1,16,6,82,363,11,5,9,111,10,6,33,1295,5,6,3,5,209,23,14,1,1,4,0,3,0,2,-96,-159,-12,0,-1,-92,-7,4,2,267,-3,0,3,-12,128,12,6,1,0,0,0,1,-1,2
22/23,Hollywoodbets Sharks,away,loss,0,34,-20,66,180,11,6,3,80,7,10,23,872,2,3,2,12,168,29,13,1,0,3,0,4,1,0,-87,-319,-18,-5,-12,-63,-2,6,1,166,-1,-4,0,3,84,18,3,0,0,2,0,2,1,0
22/23,Leinster Rugby,home,win,1,54,20,153,499,29,11,15,143,9,4,22,706,3,7,2,9,84,11,10,1,0,1,0,2,0,0,87,319,18,5,12,63,2,-6,-1,-166,1,4,0,-3,-84,-18,-3,0,0,-2,0,-2,-1,0
22/23,Ulster Rugby,home,win,1,47,30,170,489,21,8,15,215,13,7,27,898,3,3,1,9,153,23,6,1,1,0,0,1,0,0,50,169,-2,3,7,39,-2,2,-3,129,-3,-1,-1,-2,-54,2,2,0,1,-1,-1,1,0,0
22/23,Ospreys,away,loss,0,17,-30,120,320,23,5,8,176,15,5,30,769,6,4,2,11,207,21,4,1,0,1,1,0,0,0,-50,-169,2,-3,-7,-39,2,-2,3,-129,3,1,1,2,54,-2,-2,0,-1,1,1,-1,0,0
22/23,Benetton Rugby,away,loss,0,8,-45,91,217,6,3,10,98,10,5,20,913,6,3,2,6,203,26,11,2,0,2,1,5,0,0,-74,-414,-20,-7,-1,-91,-1,1,0,17,1,-1,0,-6,92,20,2,1,0,-1,1,2,0,0
22/23,Edinburgh Rugby,home,win,1,53,45,165,631,26,10,11,189,11,4,20,896,5,4,2,12,111,6,9,1,0,3,0,3,0,0,74,414,20,7,1,91,1,-1,0,-17,-1,1,0,6,-92,-20,-2,-1,0,1,-1,-2,0,0
22/23,Emirates Lions,home,loss,0,37,-2,113,474,24,7,11,129,8,6,21,957,3,3,4,9,93,8,9,1,0,4,0,2,0,1,23,44,16,0,4,14,-2,3,-1,126,0,-3,3,-2,-38,-16,2,-1,0,1,0,1,0,1
22/23,Ulster Rugby,away,win,1,39,2,90,430,8,7,7,115,10,3,22,831,3,6,1,11,131,24,7,2,0,3,0,1,0,0,-23,-44,-16,0,-4,-14,2,-3,1,-126,0,3,-3,2,38,16,-2,1,0,-1,0,-1,0,-1
22/23,Glasgow Warriors,away,loss,0,12,-28,70,229,19,3,5,103,15,5,11,622,4,4,7,10,106,13,14,2,0,5,1,4,0,0,-38,-290,6,-3,-7,-43,3,-3,-12,-2,-5,-1,6,-3,30,-6,3,1,0,3,1,2,0,0
22/23,Hollywoodbets Sharks,home,win,1,40,28,108,519,13,6,12,146,12,8,23,624,9,5,1,13,76,19,11,1,0,2,0,2,0,0,38,290,-6,3,7,43,-3,3,12,2,5,1,-6,3,-30,6,-3,-1,0,-3,-1,-2,0,0
22/23,Vodacom Bulls,away,loss,0,17,-14,126,268,19,2,6,99,13,3,27,1068,3,4,4,9,166,15,10,3,0,6,1,2,0,1,-7,-146,4,-1,0,-82,4,-2,-8,34,-4,0,1,2,0,-4,1,2,0,3,1,-1,0,1
22/23,Munster Rugby,home,win,1,31,14,133,414,15,3,6,181,9,5,35,1034,7,4,3,7,166,19,9,1,0,3,0,3,0,0,7,146,-4,1,0,82,-4,2,8,-34,4,0,-1,-2,0,4,-1,-2,0,-3,-1,1,0,-1
22/23,Scarlets,home,win,1,36,24,121,442,28,9,1,123,9,10,17,784,8,10,6,13,157,23,9,1,0,1,1,1,1,0,-9,-49,5,2,-11,-15,-6,3,2,239,5,2,5,2,22,-5,-7,-2,-1,-2,0,-2,1,-1
22/23,Zebre Parma,away,loss,0,12,-24,130,491,23,7,12,138,15,7,15,545,3,8,1,11,135,28,16,3,1,3,1,3,0,1,9,49,-5,-2,11,15,6,-3,-2,-239,-5,-2,-5,-2,-22,5,7,2,1,2,0,2,-1,1
22/23,Cardiff Rugby,home,win,1,31,17,90,341,15,3,7,116,6,7,18,860,8,6,5,14,175,17,12,0,1,5,1,3,0,0,-40,-88,-2,0,4,-56,-4,3,2,172,5,1,2,-3,60,2,-5,-4,0,3,-1,-2,0,-1
22/23,Dragons RFC,away,loss,0,14,-17,130,429,17,3,3,172,10,4,16,688,3,5,3,17,115,15,17,4,1,2,2,5,0,1,40,88,2,0,-4,56,4,-3,-2,-172,-5,-1,-2,3,-60,-2,5,4,0,-3,1,2,0,1
22/23,Leinster Rugby,away,win,1,10,10,120,449,23,7,6,173,10,6,42,1378,4,7,3,17,120,2,15,3,3,1,0,3,0,0,29,302,21,7,5,38,-9,-1,9,-121,-3,2,-2,3,-32,-21,5,1,2,-2,0,2,0,-1
22/23,Connacht Rugby,home,loss,0,0,-10,91,147,2,0,1,135,19,7,33,1499,7,5,5,14,152,23,10,2,1,3,0,1,0,1,-29,-302,-21,-7,-5,-38,9,1,-9,121,3,-2,2,-3,32,21,-5,-1,-2,2,0,-2,0,1
22/23,Connacht Rugby,home,win,1,36,22,112,347,19,2,12,122,12,5,31,1321,6,9,0,11,87,8,12,0,2,3,1,2,0,1,29,1,11,-1,3,27,2,0,0,257,2,7,-4,2,-39,-11,-1,0,2,-4,1,-3,0,-1
22/23,Scarlets,away,loss,0,14,-22,83,346,8,3,9,95,10,5,31,1064,4,2,4,9,126,19,13,0,0,7,0,5,0,2,-29,-1,-11,1,-3,-27,-2,0,0,-257,-2,-7,4,-2,39,11,1,0,-2,4,-1,3,0,1
22/23,Benetton Rugby,home,loss,0,22,-22,112,272,11,3,3,138,9,5,22,854,7,8,3,14,130,17,15,2,1,4,1,3,0,0,8,-87,-6,-1,-6,39,-3,-4,4,-27,3,2,2,4,-4,6,2,0,1,2,1,1,0,0
22/23,Vodacom Bulls,away,win,1,44,22,104,359,17,4,9,99,12,9,18,881,4,6,1,10,134,11,13,2,0,2,0,2,0,0,-8,87,6,1,6,-39,3,4,-4,27,-3,-2,-2,-4,4,-6,-2,0,-1,-2,-1,-1,0,0
22/23,Zebre Parma,home,loss,0,19,-19,112,330,5,3,8,115,16,4,12,713,5,5,3,16,81,16,11,4,0,4,1,1,1,0,21,44,-11,-1,-2,29,9,0,-6,-80,-3,-3,1,4,-56,11,-8,2,-2,-1,0,-2,1,-1
22/23,Edinburgh Rugby,away,win,1,38,19,91,286,16,4,10,86,7,4,18,793,8,8,2,12,137,5,19,2,2,5,1,3,0,1,-21,-44,11,1,2,-29,-9,0,6,80,3,3,-1,-4,56,-11,8,-2,2,1,0,2,-1,1
22/23,Glasgow Warriors,away,loss,0,24,-11,96,430,23,8,22,154,15,9,11,513,6,5,3,13,137,16,12,0,1,6,0,2,0,1,-14,-42,7,4,15,17,5,3,-5,-242,4,1,3,1,47,-7,2,-3,1,2,-1,1,-1,-1
22/23,Emirates Lions,home,win,1,35,11,110,472,16,4,7,137,10,6,16,755,2,4,0,12,90,23,10,3,0,4,1,1,1,2,14,42,-7,-4,-15,-17,-5,-3,5,242,-4,-1,-3,-1,-47,7,-2,3,-1,-2,1,-1,1,1
22/23,Hollywoodbets Sharks,home,loss,0,24,-7,146,466,26,5,8,183,21,7,26,868,2,7,0,18,76,11,10,2,0,3,1,3,0,0,64,208,15,1,3,84,14,-4,-2,-165,-1,3,-3,6,-79,-15,0,1,0,1,1,0,0,0
22/23,Ulster Rugby,away,win,1,31,7,82,258,11,4,5,99,7,11,28,1033,3,4,3,12,155,26,10,1,0,2,0,3,0,0,-64,-208,-15,-1,-3,-84,-14,4,2,165,1,-3,3,-6,79,15,0,-1,0,-1,-1,0,0,0
22/23,Ospreys,away,loss,0,25,-7,124,383,16,6,6,158,9,2,22,729,9,7,2,9,129,12,10,0,0,3,0,4,0,2,12,-122,4,-2,0,3,1,-3,3,96,9,5,0,-3,-37,-4,-2,-5,0,-2,-1,0,0,0
22/23,Dragons RFC,home,win,1,32,7,112,505,12,8,6,155,8,5,19,633,0,2,2,12,166,16,12,5,0,5,1,4,0,2,-12,122,-4,2,0,-3,-1,3,-3,-96,-9,-5,0,3,37,4,2,5,0,2,1,0,0,0
22/23,DHL Stormers,away,loss,0,24,-6,98,350,21,5,10,119,21,3,20,851,2,9,2,13,89,6,10,1,0,3,0,5,0,1,24,171,15,1,7,31,16,-13,-14,-414,-2,4,0,4,-21,-15,0,1,0,1,0,0,0,1
22/23,Cardiff Rugby,home,win,1,30,6,74,179,6,4,3,88,5,16,34,1265,4,5,2,9,110,21,10,0,0,2,0,5,0,0,-24,-171,-15,-1,-7,-31,-16,13,14,414,2,-4,0,-4,21,15,0,-1,0,-1,0,0,0,-1
22/23,Leinster Rugby,home,win,1,27,14,132,461,25,7,10,164,12,8,25,720,5,3,3,10,151,11,12,3,1,6,2,2,0,0,12,236,14,4,-3,24,-1,5,4,-68,-2,-5,2,2,9,-14,1,1,1,3,2,1,0,-2
22/23,Munster Rugby,away,loss,0,13,-14,120,225,11,3,13,140,13,3,21,788,7,8,1,8,142,25,11,2,0,3,0,1,0,2,-12,-236,-14,-4,3,-24,1,-5,-4,68,2,5,-2,-2,-9,14,-1,-1,-1,-3,-2,-1,0,2
22/23,Leinster Rugby,away,win,1,35,30,114,375,12,2,5,121,10,6,28,1258,8,7,2,10,154,15,16,2,2,2,1,4,0,1,-19,-77,-3,-3,-8,-50,-3,3,7,240,2,2,-3,-3,15,3,-1,-1,2,-5,0,3,0,-2
22/23,Scarlets,home,loss,0,5,-30,133,452,15,5,13,171,13,3,21,1018,6,5,5,13,139,12,17,3,0,7,1,1,0,3,19,77,3,3,8,50,3,-3,-7,-240,-2,-2,3,3,-15,-3,1,1,-2,5,0,-3,0,2
22/23,Benetton Rugby,away,loss,0,0,-37,58,143,2,0,0,59,10,9,15,531,7,6,6,10,141,20,20,7,1,4,1,3,0,2,-66,-436,-18,-7,-15,-139,-4,-1,-2,-310,-3,-1,5,-8,72,18,10,6,0,2,1,0,0,2
22/23,Glasgow Warriors,home,win,1,37,37,124,579,20,7,15,198,14,10,17,841,10,7,1,18,69,2,10,1,1,2,0,3,0,0,66,436,18,7,15,139,4,1,2,310,3,1,-5,8,-72,-18,-10,-6,0,-2,-1,0,0,-2
22/23,Cardiff Rugby,home,loss,0,17,-8,99,255,8,2,4,132,9,4,13,732,4,5,1,12,156,14,17,6,2,1,1,4,0,0,-19,-71,-6,0,0,3,0,-2,-8,-115,-4,0,1,-6,14,6,7,4,2,0,1,3,0,-1
22/23,Edinburgh Rugby,away,win,1,25,8,118,326,14,2,4,129,9,6,21,847,8,5,0,18,142,8,10,2,0,1,0,1,0,1,19,71,6,0,0,-3,0,2,8,115,4,0,-1,6,-14,-6,-7,-4,-2,0,-1,-3,0,1
22/23,Zebre Parma,away,loss,0,7,-40,96,302,11,2,11,126,17,3,22,763,5,4,3,9,145,21,12,3,0,3,0,2,0,1,-37,-73,-10,-6,-4,-63,10,-3,-11,-448,-3,2,2,-3,45,10,6,1,0,3,0,1,0,1
22/23,Dragons RFC,home,win,1,47,40,133,375,21,8,15,189,7,6,33,1211,8,2,1,12,100,11,6,2,0,0,0,1,0,0,37,73,10,6,4,63,-10,3,11,448,3,-2,-2,3,-45,-10,-6,-1,0,-3,0,-1,0,-1
22/23,Munster Rugby,home,loss,0,14,-1,124,353,18,4,10,175,10,6,17,790,6,10,3,11,149,24,15,0,1,5,0,3,0,1,12,106,-6,3,9,59,-2,-4,-1,10,3,2,1,-3,1,6,1,-1,-1,3,-1,-2,0,0
22/23,Ulster Rugby,away,win,1,15,1,112,247,24,1,1,116,12,10,18,780,3,8,2,14,148,18,14,1,2,2,1,5,0,1,-12,-106,6,-3,-9,-59,2,4,1,-10,-3,-2,-1,3,-1,-6,-1,1,1,-3,1,2,0,0
22/23,Ospreys,home,loss,0,19,-3,122,306,20,4,7,125,11,6,42,1597,7,6,0,19,123,9,6,0,0,2,0,0,0,1,20,22,11,0,2,-11,-4,-4,3,-91,4,3,0,-4,-31,-12,2,-2,0,1,0,0,0,1
